setID	setName	source	size.orig	name.source
36	82984	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	KEGG	24	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
37	82986	Glycerolipid metabolism	KEGG	55	Glycerolipid metabolism
38	82987	Inositol phosphate metabolism	KEGG	61	Inositol phosphate metabolism (KEGG)
39	82988	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	KEGG	25	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
40	82989	Glycerophospholipid metabolism	KEGG	92	Glycerophospholipid metabolism
41	82990	Ether lipid metabolism	KEGG	42	Ether lipid metabolism
42	82991	Arachidonic acid metabolism	KEGG	64	Arachidonic acid metabolism (KEGG)
43	82992	Linoleic acid metabolism	KEGG	29	Linoleic acid metabolism
44	82993	alpha-Linolenic acid metabolism	KEGG	25	alpha-Linolenic acid metabolism
45	82994	Sphingolipid metabolism	KEGG	47	Sphingolipid metabolism (KEGG)
46	82995	Glycosphingolipid biosynthesis - lacto and neolacto series	KEGG	26	Glycosphingolipid biosynthesis - lacto and neolacto series
47	82996	Glycosphingolipid biosynthesis - globo series	KEGG	14	Glycosphingolipid biosynthesis - globo series
48	82997	Glycosphingolipid biosynthesis - ganglio series	KEGG	15	Glycosphingolipid biosynthesis - ganglio series
49	82998	Pyruvate metabolism	KEGG	42	Pyruvate metabolism (KEGG)
50	83002	Glyoxylate and dicarboxylate metabolism	KEGG	25	Glyoxylate and dicarboxylate metabolism
51	83004	Propanoate metabolism	KEGG	32	Propanoate metabolism
52	83007	Butanoate metabolism	KEGG	26	Butanoate metabolism
53	83008	One carbon pool by folate	KEGG	20	One carbon pool by folate
54	83012	Riboflavin metabolism	KEGG	12	Riboflavin metabolism
55	83014	Nicotinate and nicotinamide metabolism	KEGG	28	Nicotinate and nicotinamide metabolism
56	83015	Pantothenate and CoA biosynthesis	KEGG	17	Pantothenate and CoA biosynthesis
57	83018	Folate biosynthesis	KEGG	14	Folate biosynthesis
58	83020	Retinol metabolism	KEGG	64	Retinol metabolism
59	83021	Porphyrin and chlorophyll metabolism	KEGG	43	Porphyrin and chlorophyll metabolism
60	83022	Terpenoid backbone biosynthesis	KEGG	21	Terpenoid backbone biosynthesis
61	83025	Nitrogen metabolism	KEGG	17	Nitrogen metabolism
62	83030	Aminoacyl-tRNA biosynthesis	KEGG	44	Aminoacyl-tRNA biosynthesis
63	83031	Metabolism of xenobiotics by cytochrome P450	KEGG	73	Metabolism of xenobiotics by cytochrome P450
64	83032	Drug metabolism - cytochrome P450	KEGG	67	Drug metabolism - cytochrome P450
65	83033	Drug metabolism - other enzymes	KEGG	46	Drug metabolism - other enzymes
66	83034	Biosynthesis of unsaturated fatty acids	KEGG	21	Biosynthesis of unsaturated fatty acids
67	83035	ABC transporters	KEGG	44	ABC transporters
68	83036	Ribosome	KEGG	132	Ribosome
69	83037	RNA polymerase	KEGG	31	RNA polymerase
70	83038	Basal transcription factors	KEGG	45	Basal transcription factors
71	83039	DNA replication	KEGG	36	DNA replication (KEGG)
72	83040	Proteasome	KEGG	44	Proteasome
73	83041	Protein export	KEGG	23	Protein export
74	83042	PPAR signaling pathway	KEGG	69	PPAR signaling pathway
75	83043	Base excision repair	KEGG	33	Base excision repair
76	83044	Nucleotide excision repair	KEGG	46	Nucleotide excision repair (KEGG)
77	83045	Mismatch repair	KEGG	23	Mismatch repair
78	83046	Homologous recombination	KEGG	28	Homologous recombination (KEGG)
79	83047	Non-homologous end-joining	KEGG	13	Non-homologous end-joining
80	83048	MAPK signaling pathway	KEGG	257	MAPK signaling pathway (KEGG)
81	83049	ErbB signaling pathway	KEGG	87	ErbB signaling pathway (KEGG)
82	83050	Calcium signaling pathway	KEGG	180	Calcium signaling pathway
83	83051	Cytokine-cytokine receptor interaction	KEGG	263	Cytokine-cytokine receptor interaction
84	83052	Phosphatidylinositol signaling system	KEGG	81	Phosphatidylinositol signaling system
85	83053	Neuroactive ligand-receptor interaction	KEGG	275	Neuroactive ligand-receptor interaction
86	83054	Cell cycle	KEGG	124	Cell cycle (KEGG)
87	83055	p53 signaling pathway	KEGG	68	p53 signaling pathway
88	83056	Ubiquitin mediated proteolysis	KEGG	137	Ubiquitin mediated proteolysis
89	83057	SNARE interactions in vesicular transport	KEGG	34	SNARE interactions in vesicular transport
90	83058	Regulation of autophagy	KEGG	39	Regulation of autophagy
91	83059	mTOR signaling pathway	KEGG	60	mTOR signaling pathway (KEGG)
92	83060	Apoptosis	KEGG	86	Apoptosis (KEGG)
93	83061	Wnt signaling pathway	KEGG	139	Wnt signaling pathway (KEGG)
94	83062	Notch signaling pathway	KEGG	48	Notch signaling pathway (KEGG)
95	83063	Hedgehog signaling pathway	KEGG	51	Hedgehog signaling pathway (KEGG)
96	83064	TGF-beta signaling pathway	KEGG	80	TGF-beta signaling pathway
97	83065	Axon guidance	KEGG	127	Axon guidance (KEGG)
98	83066	VEGF signaling pathway	KEGG	61	VEGF signaling pathway
99	83067	Focal adhesion	KEGG	207	Focal adhesion (KEGG)
100	83068	ECM-receptor interaction	KEGG	87	ECM-receptor interaction
101	83069	Cell adhesion molecules (CAMs)	KEGG	140	Cell adhesion molecules (CAMs)
102	83070	Adherens junction	KEGG	73	Adherens junction
103	83071	Tight junction	KEGG	134	Tight junction
104	83072	Gap junction	KEGG	89	Gap junction
105	83073	Complement and coagulation cascades	KEGG	69	Complement and coagulation cascades (KEGG)
106	83074	Antigen processing and presentation	KEGG	69	Antigen processing and presentation
107	83075	Renin-angiotensin system	KEGG	17	Renin-angiotensin system
108	83076	Toll-like receptor signaling pathway*	KEGG	104	Toll-like receptor signaling pathway*
109	83077	Jak-STAT signaling pathway	KEGG	156	Jak-STAT signaling pathway
110	83078	Hematopoietic cell lineage	KEGG	86	Hematopoietic cell lineage
111	83079	Natural killer cell mediated cytotoxicity	KEGG	128	Natural killer cell mediated cytotoxicity
112	83080	T cell receptor signaling pathway	KEGG	104	T cell receptor signaling pathway
113	83081	B cell receptor signaling pathway	KEGG	72	B cell receptor signaling pathway (KEGG)
114	83082	Fc epsilon RI signaling pathway	KEGG	70	Fc epsilon RI signaling pathway
115	83083	Leukocyte transendothelial migration	KEGG	118	Leukocyte transendothelial migration
116	83084	Circadian rhythm	KEGG	30	Circadian rhythm
117	83085	Long-term potentiation	KEGG	67	Long-term potentiation
118	83086	Long-term depression	KEGG	60	Long-term depression
119	83087	Olfactory transduction	KEGG	402	Olfactory transduction
120	83088	Taste transduction	KEGG	52	Taste transduction
121	83089	Regulation of actin cytoskeleton	KEGG	215	Regulation of actin cytoskeleton (KEGG)
122	83090	Insulin signaling pathway	KEGG	141	Insulin signaling pathway
123	83091	GnRH signaling pathway	KEGG	92	GnRH signaling pathway
124	83092	Melanogenesis	KEGG	101	Melanogenesis
125	83093	Adipocytokine signaling pathway	KEGG	70	Adipocytokine signaling pathway
126	83094	Type II diabetes mellitus	KEGG	48	Type II diabetes mellitus (KEGG)
127	83095	Type I diabetes mellitus	KEGG	41	Type I diabetes mellitus
128	83096	Maturity onset diabetes of the young	KEGG	25	Maturity onset diabetes of the young
129	83097	Alzheimer's disease	KEGG	162	Alzheimer's disease
130	83098	Parkinson's disease	KEGG	130	Parkinson's disease
131	83099	Amyotrophic lateral sclerosis (ALS)	KEGG	51	Amyotrophic lateral sclerosis (ALS) (KEGG)
132	83100	Huntington's disease	KEGG	177	Huntington's disease
133	83101	Vibrio cholerae infection	KEGG	54	Vibrio cholerae infection
134	83102	Epithelial cell signaling in Helicobacter pylori infection	KEGG	68	Epithelial cell signaling in Helicobacter pylori infection
135	83103	Pathogenic Escherichia coli infection*	KEGG	55	Pathogenic Escherichia coli infection*
136	83104	Shigellosis	KEGG	61	Shigellosis
137	83105	Pathways in cancer	KEGG	327	Pathways in cancer
138	83106	Colorectal cancer	KEGG	62	Colorectal cancer
139	83107	Renal cell carcinoma	KEGG	66	Renal cell carcinoma
140	83108	Pancreatic cancer	KEGG	66	Pancreatic cancer
141	83109	Endometrial cancer	KEGG	52	Endometrial cancer
142	83110	Glioma	KEGG	65	Glioma
143	83111	Prostate cancer	KEGG	89	Prostate cancer (KEGG)
144	83112	Thyroid cancer	KEGG	29	Thyroid cancer
145	83113	Basal cell carcinoma	KEGG	55	Basal cell carcinoma
146	83114	Melanoma	KEGG	71	Melanoma
147	83115	Bladder cancer	KEGG	38	Bladder cancer
148	83116	Chronic myeloid leukemia	KEGG	73	Chronic myeloid leukemia
149	83117	Acute myeloid leukemia	KEGG	57	Acute myeloid leukemia
150	83118	Small cell lung cancer	KEGG	86	Small cell lung cancer
151	83119	Non-small cell lung cancer	KEGG	56	Non-small cell lung cancer
152	83120	Asthma	KEGG	28	Asthma
153	83121	Autoimmune thyroid disease	KEGG	50	Autoimmune thyroid disease
154	83122	Systemic lupus erythematosus	KEGG	132	Systemic lupus erythematosus
155	83123	Allograft rejection	KEGG	35	Allograft rejection (KEGG)
156	83124	Graft-versus-host disease	KEGG	37	Graft-versus-host disease
157	83125	Primary immunodeficiency	KEGG	36	Primary immunodeficiency
158	93344	Cardiac muscle contraction	KEGG	74	Cardiac muscle contraction
159	96530	Vascular smooth muscle contraction	KEGG	121	Vascular smooth muscle contraction
160	99051	Chemokine signaling pathway	KEGG	187	Chemokine signaling pathway
161	99052	Lysosome	KEGG	122	Lysosome
162	101142	Alanine, aspartate and glutamate metabolism	KEGG	36	Alanine, aspartate and glutamate metabolism
163	101143	Neurotrophin signaling pathway	KEGG	120	Neurotrophin signaling pathway
164	101144	Prion diseases	KEGG	36	Prion diseases
165	102279	Endocytosis	KEGG	203	Endocytosis
166	104488	Cysteine and methionine metabolism	KEGG	37	Cysteine and methionine metabolism
167	105648	Apoptosis	REACTOME	157	Apoptosis (REACTOME)
168	105649	Extrinsic Pathway for Apoptosis*	REACTOME	14	Extrinsic Pathway for Apoptosis*
169	105654	Caspase-8 activation*	REACTOME	10	Caspase-8 activation*
170	105656	Intrinsic Pathway for Apoptosis	REACTOME	39	Intrinsic Pathway for Apoptosis
171	105658	Activation of BH3-only proteins	REACTOME	26	Activation of BH3-only proteins
172	105659	Activation of BAD and translocation to mitochondria	REACTOME	16	Activation of BAD and translocation to mitochondria
173	105677	Apoptotic execution phase	REACTOME	51	Apoptotic execution phase
174	105678	Apoptotic cleavage of cellular proteins	REACTOME	37	Apoptotic cleavage of cellular proteins
175	105679	Caspase-mediated cleavage of cytoskeletal proteins	REACTOME	12	Caspase-mediated cleavage of cytoskeletal proteins
176	105682	Apoptosis induced DNA fragmentation*	REACTOME	13	Apoptosis induced DNA fragmentation*
177	105685	Regulation of Apoptosis	REACTOME	60	Regulation of Apoptosis
178	105686	Regulation of activated PAK-2p34 by proteasome mediated degradation	REACTOME	49	Regulation of activated PAK-2p34 by proteasome mediated degradation
179	105688	Axon guidance	REACTOME	259	Axon guidance (REACTOME)
180	105689	NCAM signaling for neurite out-growth	REACTOME	63	NCAM signaling for neurite out-growth
181	105697	NCAM1 interactions	REACTOME	37	NCAM1 interactions
182	105698	Biological oxidations	REACTOME	159	Biological oxidations
183	105699	Phase 1 - Functionalization of compounds	REACTOME	71	Phase 1 - Functionalization of compounds
184	105700	Cytochrome P450 - arranged by substrate type	REACTOME	53	Cytochrome P450 - arranged by substrate type
185	105701	Endogenous sterols	REACTOME	16	Endogenous sterols
186	105703	Xenobiotics	REACTOME	20	Xenobiotics
187	105706	Fatty acids	REACTOME	15	Fatty acids
188	105707	Eicosanoids	REACTOME	12	Eicosanoids
189	105709	Miscellaneous substrates	REACTOME	12	Miscellaneous substrates
190	105721	Phase II conjugation	REACTOME	89	Phase II conjugation
191	105722	Glucuronidation	REACTOME	20	Glucuronidation (REACTOME)
192	105724	Cytosolic sulfonation of small molecules	REACTOME	18	Cytosolic sulfonation of small molecules
193	105727	Glutathione conjugation	REACTOME	31	Glutathione conjugation
194	105739	Cell Cycle Checkpoints	REACTOME	118	Cell Cycle Checkpoints
195	105740	G1/S DNA Damage Checkpoints	REACTOME	60	G1/S DNA Damage Checkpoints
196	105741	p53-Dependent G1/S DNA damage checkpoint*	REACTOME	57	p53-Dependent G1/S DNA damage checkpoint*
197	105744	Stabilization of p53*	REACTOME	52	Stabilization of p53*
198	105747	p53-Independent G1/S DNA damage checkpoint*	REACTOME	52	p53-Independent G1/S DNA damage checkpoint*
199	105750	G2/M Checkpoints	REACTOME	44	G2/M Checkpoints
200	105754	Activation of ATR in response to replication stress	REACTOME	37	Activation of ATR in response to replication stress
201	105755	Mitotic Spindle Checkpoint	REACTOME	19	Mitotic Spindle Checkpoint
202	105763	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components*	REACTOME	18	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components*
203	105765	Cell Cycle, Mitotic	REACTOME	477	Cell Cycle, Mitotic
204	105766	G1 Phase*	REACTOME	38	G1 Phase*
205	105769	G1/S Transition	REACTOME	109	G1/S Transition
206	105771	SCF(Skp2)-mediated degradation of p27/p21	REACTOME	56	SCF(Skp2)-mediated degradation of p27/p21
207	105776	G1/S-Specific Transcription	REACTOME	17	G1/S-Specific Transcription
208	105777	Activation of the pre-replicative complex	REACTOME	30	Activation of the pre-replicative complex
209	105778	E2F mediated regulation of DNA replication	REACTOME	33	E2F mediated regulation of DNA replication
210	105781	E2F-enabled inhibition of pre-replication complex formation	REACTOME	10	E2F-enabled inhibition of pre-replication complex formation
211	105782	S Phase	REACTOME	123	S Phase
212	105783	Cyclin A:Cdk2-associated events at S phase entry*	REACTOME	66	Cyclin A:Cdk2-associated events at S phase entry*
213	105784	Synthesis of DNA	REACTOME	96	Synthesis of DNA
214	105788	CDK-mediated phosphorylation and removal of Cdc6	REACTOME	50	CDK-mediated phosphorylation and removal of Cdc6
215	105789	DNA strand elongation	REACTOME	31	DNA strand elongation
216	105790	Unwinding of DNA	REACTOME	11	Unwinding of DNA
217	105791	Leading Strand Synthesis*	REACTOME	14	Leading Strand Synthesis*
218	105793	Lagging Strand Synthesis	REACTOME	20	Lagging Strand Synthesis
219	105794	Processive synthesis on the lagging strand	REACTOME	15	Processive synthesis on the lagging strand
220	105795	Removal of the Flap Intermediate	REACTOME	14	Removal of the Flap Intermediate
221	105796	Ubiquitin-dependent degradation of Cyclin D*	REACTOME	50	Ubiquitin-dependent degradation of Cyclin D*
222	105802	Cyclin A/B1 associated events during G2/M transition	REACTOME	22	Cyclin A/B1 associated events during G2/M transition
223	105806	Polo-like kinase mediated events	REACTOME	16	Polo-like kinase mediated events
224	105807	Centrosome maturation*	REACTOME	72	Centrosome maturation*
225	105810	Loss of proteins required for interphase microtubule organizationÂ from the centrosome*	REACTOME	62	Loss of proteins required for interphase microtubule organizationÂ from the centrosome*
226	105812	M Phase	REACTOME	299	M Phase
227	105813	Mitotic Prophase	REACTOME	136	Mitotic Prophase
228	105814	Golgi Cisternae Pericentriolar Stack Reorganization	REACTOME	14	Golgi Cisternae Pericentriolar Stack Reorganization
229	105815	Mitotic Prometaphase	REACTOME	111	Mitotic Prometaphase
230	105819	Mitotic Telophase/Cytokinesis	REACTOME	14	Mitotic Telophase/Cytokinesis
231	105820	M/G1 Transition*	REACTOME	82	M/G1 Transition*
232	105821	Assembly of the pre-replicative complex	REACTOME	67	Assembly of the pre-replicative complex
233	105823	CDC6 association with the ORC:origin complex	REACTOME	11	CDC6 association with the ORC:origin complex
234	105824	CDT1 association with the CDC6:ORC:origin complex	REACTOME	58	CDT1 association with the CDC6:ORC:origin complex
235	105825	APC/C-mediated degradation of cell cycle proteins*	REACTOME	82	APC/C-mediated degradation of cell cycle proteins*
236	105826	Regulation of APC/C activators between G1/S and early anaphase	REACTOME	77	Regulation of APC/C activators between G1/S and early anaphase
237	105828	SCF-beta-TrCP mediated degradation of Emi1	REACTOME	54	SCF-beta-TrCP mediated degradation of Emi1
238	105829	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins*	REACTOME	70	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins*
239	105830	Phosphorylation of the APC/C	REACTOME	17	Phosphorylation of the APC/C
240	105832	APC/C:Cdc20 mediated degradation of Cyclin B	REACTOME	21	APC/C:Cdc20 mediated degradation of Cyclin B
241	105833	APC/C:Cdc20 mediated degradation of Securin	REACTOME	64	APC/C:Cdc20 mediated degradation of Securin
242	105834	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	REACTOME	17	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase
243	105835	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	REACTOME	69	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
244	105836	Autodegradation of Cdh1 by Cdh1:APC/C	REACTOME	60	Autodegradation of Cdh1 by Cdh1:APC/C
245	105837	DNA Repair	REACTOME	110	DNA Repair
246	105838	Base Excision Repair*	REACTOME	19	Base Excision Repair*
247	105847	Resolution of AP sites via the single-nucleotide replacement pathway	REACTOME	12	Resolution of AP sites via the single-nucleotide replacement pathway
248	105850	Resolution of AP sites via the multiple-nucleotide patch replacement pathway*	REACTOME	17	Resolution of AP sites via the multiple-nucleotide patch replacement pathway*
249	105861	Double-Strand Break Repair	REACTOME	22	Double-Strand Break Repair
250	105862	Homologous Recombination Repair*	REACTOME	16	Homologous Recombination Repair*
251	105883	Nucleotide Excision Repair	REACTOME	50	Nucleotide Excision Repair (REACTOME)
252	105884	Global Genomic NER (GG-NER)	REACTOME	33	Global Genomic NER (GG-NER)
253	105886	Formation of incision complex in GG-NER*	REACTOME	20	Formation of incision complex in GG-NER*
254	105888	Gap-filling DNA repair synthesis and ligation in GG-NER*	REACTOME	16	Gap-filling DNA repair synthesis and ligation in GG-NER*
255	105889	Repair synthesis of patch ~27-30 bases long by DNA polymerase*	REACTOME	15	Repair synthesis of patch ~27-30 bases long by DNA polymerase*
256	105890	Transcription-coupled NER (TC-NER)	REACTOME	45	Transcription-coupled NER (TC-NER)
257	105891	Formation of transcription-coupled NER (TC-NER) repair complex*	REACTOME	29	Formation of transcription-coupled NER (TC-NER) repair complex*
258	105895	Fanconi Anemia pathway	REACTOME	25	Fanconi Anemia pathway (REACTOME)
259	105897	DNA Replication	REACTOME	104	DNA Replication (REACTOME)
260	105899	Regulation of DNA replication*	REACTOME	75	Regulation of DNA replication*
261	105900	Association of licensing factors with the pre-replicative complex	REACTOME	15	Association of licensing factors with the pre-replicative complex
262	105903	Insulin processing	REACTOME	26	Insulin processing
263	105904	Unfolded Protein Response (UPR)	REACTOME	81	Unfolded Protein Response (UPR)
264	105906	IRE1alpha activates chaperones*	REACTOME	50	IRE1alpha activates chaperones*
265	105907	PERK regulates gene expression	REACTOME	28	PERK regulates gene expression
266	105908	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	REACTOME	21	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
267	105909	Regulation of insulin secretion	REACTOME	80	Regulation of insulin secretion
268	105911	Glycolysis	REACTOME	27	Glycolysis
269	105919	Citric acid cycle (TCA cycle)	REACTOME	19	Citric acid cycle (TCA cycle)
270	105921	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	REACTOME	85	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.
271	105922	Formation of ATP by chemiosmotic coupling	REACTOME	16	Formation of ATP by chemiosmotic coupling
272	105923	Adrenaline,noradrenaline inhibits insulin secretion	REACTOME	30	Adrenaline,noradrenaline inhibits insulin secretion
273	105925	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	REACTOME	44	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion
274	105926	Gap junction trafficking and regulation	REACTOME	30	Gap junction trafficking and regulation
275	105927	Gap junction trafficking	REACTOME	28	Gap junction trafficking
276	105928	Gap junction assembly	REACTOME	19	Gap junction assembly
277	105937	Gene Expression	REACTOME	1145	Gene Expression
278	105938	Generic Transcription Pathway	REACTOME	473	Generic Transcription Pathway
279	105939	Notch-HLH transcription pathway	REACTOME	13	Notch-HLH transcription pathway
280	105941	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening*	REACTOME	39	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening*
281	105945	mRNA Capping	REACTOME	28	mRNA Capping
282	105948	RNA Polymerase II Transcription Elongation*	REACTOME	42	RNA Polymerase II Transcription Elongation*
283	105949	Formation of the Early Elongation Complex*	REACTOME	32	Formation of the Early Elongation Complex*
284	105951	mRNA Splicing*	REACTOME	107	mRNA Splicing*
285	105953	mRNA Splicing - Minor Pathway	REACTOME	42	mRNA Splicing - Minor Pathway
286	105957	mRNA 3'-end processing	REACTOME	34	mRNA 3'-end processing
287	105959	Transport of Mature Transcript to Cytoplasm*	REACTOME	55	Transport of Mature Transcript to Cytoplasm*
288	105961	Transport of Mature mRNAs Derived from Intronless Transcripts*	REACTOME	36	Transport of Mature mRNAs Derived from Intronless Transcripts*
289	105965	Translation	REACTOME	146	Translation
290	105966	Eukaryotic Translation Initiation*	REACTOME	113	Eukaryotic Translation Initiation*
291	105968	Formation of a pool of free 40S subunits	REACTOME	95	Formation of a pool of free 40S subunits
292	105969	Formation of the ternary complex, and subsequently, the 43S complex	REACTOME	48	Formation of the ternary complex, and subsequently, the 43S complex
293	105970	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S*	REACTOME	56	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S*
294	105973	GTP hydrolysis and joining of the 60S ribosomal subunit	REACTOME	106	GTP hydrolysis and joining of the 60S ribosomal subunit
295	105976	Eukaryotic Translation Elongation	REACTOME	89	Eukaryotic Translation Elongation
296	105977	Peptide chain elongation*	REACTOME	85	Peptide chain elongation*
297	105979	Nuclear Receptor transcription pathway	REACTOME	51	Nuclear Receptor transcription pathway
298	105980	tRNA Aminoacylation	REACTOME	42	tRNA Aminoacylation
299	105981	Cytosolic tRNA aminoacylation	REACTOME	24	Cytosolic tRNA aminoacylation
300	105982	Mitochondrial tRNA aminoacylation	REACTOME	21	Mitochondrial tRNA aminoacylation
301	105983	HIV Infection	REACTOME	215	HIV Infection
302	105984	HIV Life Cycle	REACTOME	132	HIV Life Cycle
303	105985	Early Phase of HIV Life Cycle	REACTOME	13	Early Phase of HIV Life Cycle
304	105995	Late Phase of HIV Life Cycle	REACTOME	120	Late Phase of HIV Life Cycle
305	105996	Transcription of the HIV genome*	REACTOME	60	Transcription of the HIV genome*
306	106000	RNA Pol II CTD phosphorylation and interaction with CE*	REACTOME	26	RNA Pol II CTD phosphorylation and interaction with CE*
307	106005	Abortive elongation of HIV-1 transcript in the absence of Tat	REACTOME	23	Abortive elongation of HIV-1 transcript in the absence of Tat
308	106009	Budding and maturation of HIV virion	REACTOME	25	Budding and maturation of HIV virion
309	106010	Host Interactions of HIV factors	REACTOME	128	Host Interactions of HIV factors
310	106011	Interactions of Vpr with host cellular proteins	REACTOME	34	Interactions of Vpr with host cellular proteins
311	106013	Vpr-mediated nuclear import of PICs	REACTOME	31	Vpr-mediated nuclear import of PICs
312	106014	Interactions of Rev with host cellular proteins*	REACTOME	34	Interactions of Rev with host cellular proteins*
313	106015	Nuclear import of Rev protein	REACTOME	31	Nuclear import of Rev protein
314	106017	Vif-mediated degradation of APOBEC3G	REACTOME	54	Vif-mediated degradation of APOBEC3G
315	106019	The role of Nef in HIV-1 replication and disease pathogenesis	REACTOME	28	The role of Nef in HIV-1 replication and disease pathogenesis
316	106021	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	REACTOME	21	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters
317	106026	Vpu mediated degradation of CD4	REACTOME	51	Vpu mediated degradation of CD4
318	106028	Hemostasis	REACTOME	486	Hemostasis
319	106030	Platelet Adhesion to exposed collagen	REACTOME	13	Platelet Adhesion to exposed collagen
320	106034	Platelet activation, signaling and aggregation	REACTOME	209	Platelet activation, signaling and aggregation
321	106036	GPVI-mediated activation cascade	REACTOME	31	GPVI-mediated activation cascade
322	106041	G alpha (12/13) signalling events	REACTOME	77	G alpha (12/13) signalling events
323	106043	G alpha (q) signalling events	REACTOME	192	G alpha (q) signalling events
324	106044	Effects of PIP2 hydrolysis	REACTOME	25	Effects of PIP2 hydrolysis
325	106048	Response to elevated platelet cytosolic Ca2+	REACTOME	86	Response to elevated platelet cytosolic Ca2+
326	106050	Platelet degranulation	REACTOME	81	Platelet degranulation
327	106053	Platelet Aggregation (Plug Formation)	REACTOME	37	Platelet Aggregation (Plug Formation)
328	106054	Integrin alphaIIb beta3 signaling	REACTOME	27	Integrin alphaIIb beta3 signaling
